"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct","lr_pair"
"Myeloid_Monocyte-like","CNV_Subclone_04","VCAN","CD44",0.333929156033236,2.63638532746618,0.357606161001,0.893066980023502,0.396603396603397,"VCAN -> CD44"
"CNV_Subclone_04","Myeloid_cDC2-like","GNAI2","FPR1",0.332044174579102,0.419197035982766,1.61652931429788,0.53046953046953,0.923705722070845,"GNAI2 -> FPR1"
"CNV_Subclone_02","Myeloid_mDC_LAMP3","AFDN","NECTIN2",0.331518393091465,0.588600276251022,1.18501352115827,0.600373482726424,0.791666666666667,"AFDN -> NECTIN2"
"CNV_Subclone_04","Myeloid_cDC1","CD24","SIGLEC10",0.33122004917915,1.40744519722678,0.491160570004861,0.78021978021978,0.614107883817427,"CD24 -> SIGLEC10"
"T_NK_CD8+ T resident memory","CNV_Subclone_02","CCL5","SDC4",0.324311095956241,4.0963424479878,0.256420661851469,0.999019607843137,0.30905695611578,"CCL5 -> SDC4"
"CNV_Subclone_04","Myeloid_Macro-MCEMP1","GNAI2","C5AR1",0.323198696095648,0.419197035982766,1.70847106399205,0.53046953046953,0.850713501646542,"GNAI2 -> C5AR1"
"Smooth_muscle_cells","CNV_Subclone_04","COL6A2","CD44",0.314755991111098,2.48889309542183,0.357606161001,0.891674487196675,0.396603396603397,"COL6A2 -> CD44"
"CNV_Subclone_04","T_NK_CD56dim cytotoxic NK","B2M","KIR2DL3",0.304747263847403,2.55172149757382,0.478770741282838,0.978021978021978,0.255052935514918,"B2M -> KIR2DL3"
"Smooth_muscle_cells","CNV_Subclone_02","COL1A1","SDC4",0.282681071835465,3.8995134754689,0.256420661851469,0.914733878535997,0.30905695611578,"COL1A1 -> SDC4"
"CNV_Subclone_05","Myeloid_Interferon-Responsive Myeloid","S100A1","TLR4",0.282214420879258,2.29910114659517,0.338308002506024,0.864583333333333,0.419664268585132,"S100A1 -> TLR4"
"Smooth_muscle_cells","CNV_Subclone_02","LUM","ITGB1",0.278145943811753,1.82023522355595,0.478860108047156,0.637618983777986,0.50046685340803,"LUM -> ITGB1"
"CNV_Subclone_02","B_Early-PC_MS4A1low","LAMA5","ITGB1",0.277123075418147,0.585740705433791,1.00913612000657,0.581699346405229,0.805970149253731,"LAMA5 -> ITGB1"
"CNV_Subclone_04","Myeloid_Interferon-Responsive Myeloid","HMGB1","TLR4",0.275581025892276,1.97057155920898,0.338308002506024,0.985014985014985,0.419664268585132,"HMGB1 -> TLR4"
"T_NK_CD4+ T regulatory","CNV_Subclone_02","TIGIT","NECTIN2",0.263673419037678,1.20147561372951,0.625455261571845,0.552631578947368,0.634920634920635,"TIGIT -> NECTIN2"
"CNV_Subclone_02","T_NK_CD4+ T regulatory","NECTIN2","TIGIT",0.263673419037678,0.625455261571845,1.20147561372951,0.634920634920635,0.552631578947368,"NECTIN2 -> TIGIT"
"CNV_Subclone_02","NK cells","GNAS","PTGDR",0.263661176565142,2.63109694044163,0.449254281999134,0.997198879551821,0.223684210526316,"GNAS -> PTGDR"
"T_NK_CD8+ T resident memory","CNV_Subclone_02","CALM1","MYLK",0.263340749986484,2.62376894192781,0.297025249173998,0.967647058823529,0.349206349206349,"CALM1 -> MYLK"
"Smooth_muscle_cells","CNV_Subclone_02","COL1A2","SDC4",0.250324538447735,3.47608931693934,0.256420661851469,0.908700898243732,0.30905695611578,"COL1A2 -> SDC4"
"Smooth_muscle_cells","CNV_Subclone_04","COL6A1","CD44",0.24328324486139,2.07101612909495,0.357606161001,0.828261161013541,0.396603396603397,"COL6A1 -> CD44"
"Myeloid_Macro-M2-like","CNV_Subclone_02","F13A1","ITGB1",0.242990178192,1.65945882328535,0.478860108047156,0.610995850622407,0.50046685340803,"F13A1 -> ITGB1"
"Smooth_muscle_cells","CNV_Subclone_02","SPARC","PDGFC",0.241472378233572,3.38195046819879,0.253884862686756,0.912722885105242,0.30812324929972,"SPARC -> PDGFC"
"NK cells","CNV_Subclone_04","UBB","ERBB2",0.225413239291414,2.10129057346647,0.290735835250046,0.921052631578947,0.400599400599401,"UBB -> ERBB2"
"T_NK_CD4+ T effector","CNV_Subclone_02","LTB","CD40",0.217921224614592,3.2090833479313,0.228733103896528,0.943515589697244,0.314659197012138,"LTB -> CD40"
"CNV_Subclone_05","Myeloid_Macro-THBS1","LAMB2","CD44",0.213025337033665,0.387112357524481,2.3522579235153,0.239583333333333,0.976456009913259,"LAMB2 -> CD44"
"Myeloid_Macro-LYVE1","CNV_Subclone_02","CALM3","MYLK",0.210757396314097,2.142735601054,0.297025249173998,0.948284690220174,0.349206349206349,"CALM3 -> MYLK"
"CNV_Subclone_04","T_NK_CD56bright regulatory","HLA-E","KLRC1",0.209653468091113,0.6861052975883,0.974034532894574,0.66033966033966,0.475083056478405,"HLA-E -> KLRC1"
"Myeloid_Interferon-Responsive Myeloid","CNV_Subclone_04","PSAP","SORT1",0.203305739436128,3.94918803638591,0.184702043626977,1,0.278721278721279,"PSAP -> SORT1"
"CNV_Subclone_03","Myeloid_Macro-LYVE1","CALM3","ABCA1",0.201246703707222,0.628192705276711,0.989857311774295,0.459353574926543,0.704557091653866,"CALM3 -> ABCA1"
"Myeloid_Macro-TIMD4","CNV_Subclone_02","FN1","SDC4",0.200328673640394,2.85890794446799,0.256420661851469,0.884201819685691,0.30905695611578,"FN1 -> SDC4"
"Smooth_muscle_cells","CNV_Subclone_04","GPC3","CD81",0.199850152031363,0.316921715465487,2.32353417917087,0.283281941278992,0.958041958041958,"GPC3 -> CD81"
"CNV_Subclone_04","T_NK_CD4+ T regulatory","CALM1","FAS",0.199498613399531,1.42825121040401,0.516216734414426,0.894105894105894,0.302631578947368,"CALM1 -> FAS"
