"gene","rho","p_value","n_groups","cnv_sd","expr_sd","padj"
"MRPS14",0.512110232426886,0.000104118431709853,52,0.541978388086036,0.331952158900855,0.00221292984221417
"SSBP4",0.511885319323284,0.000104974720574364,52,0.595356592385212,0.298390445626552,0.00222231068536084
"DESI2",0.511371303711442,0.000106955913305528,52,0.822707519196087,0.205967543687135,0.00225254017532256
"DPM1",0.511297340281518,0.000107243791020772,52,0.725271052467635,0.24605730716215,0.00225254017532256
"PPDPF",0.510582855802422,0.000110061388604364,52,0.908108271895022,0.868136990940835,0.0022942777941738
"KLK10",0.510324236581655,0.000111097834175646,52,0.638153444717276,0.289570646975723,0.0022942777941738
"PERP",0.510321725486458,0.000111107941267023,52,0.584812818927992,0.568418945850307,0.0022942777941738
"ALDH16A1",0.510256018664365,0.000111372708455039,52,0.59788465722781,0.0685581733766643,0.0022942777941738
"TMEM259",0.509360589897546,0.000115038816533802,52,0.365870519176407,0.114578698113187,0.00236071992856338
"FKBP8",0.508771779540755,0.000117509317006735,52,0.584812818927992,0.29674039417362,0.00239307947485959
"SUMO1",0.507933729402078,0.000121109236989932,52,0.56912782893757,0.447617340963765,0.00245704952014423
