"source_group","target_group","n_lr_pairs","total_score","mean_score","max_score","top_ligand","top_receptor"
"Myeloid_Macro-Inflammatory_M1","T_NK_¦Ã¦ÄT",144,87.1352633265802,0.605105995323474,7.12313955452067,"B2M","CD3D"
"Myeloid_Macro-TIMD4","Myeloid_cDC2-like",257,87.02341431125,0.338612507047665,11.5028728034985,"MIF","CD74"
"T_NK_CD8+ T CXCL13","Monocytes",166,86.9479040933617,0.523782554779287,6.61806443881692,"B2M","LILRB2"
"Myeloid_cDC1","Myeloid_cDC2-like",208,86.7104719365128,0.416877268925543,12.4986608380079,"MIF","CD74"
"NK cells","Myeloid_Macro-THBS1",204,86.6251127670291,0.424632905720731,8.22462772819401,"MIF","CD74"
"T_NK_Th17","T_NK_¦Ã¦ÄT",87,86.3677254345388,0.992732476259066,7.77038168705233,"B2M","CD3D"
"Myeloid_Macro-THBS1","Myeloid_Proliferating Myeloid",299,86.2469615198463,0.288451376320556,8.01560670884271,"MIF","CD74"
"T_NK_CD4+ T regulatory","T_NK_¦Ã¦ÄT",86,85.9225765817629,0.999099727694918,8.35218919532923,"B2M","CD3D"
"Myeloid_Macro-THBS1","Myeloid_cDC2",264,85.7729097880482,0.324897385560789,12.3163184594376,"MIF","CD74"
"T_NK_CD4+ T effector","Monocytes",173,85.5755763673623,0.494656510794002,7.47459956138556,"MIF","CD74"
"Myeloid_cDC2","T_NK_¦Ã¦ÄT",146,85.4734167778571,0.585434361492172,6.82139955104635,"B2M","CD3D"
"Myeloid_cDC1","Myeloid_Macro-MCEMP1",188,85.3853413771444,0.454177347750768,8.13895961405274,"MIF","CD74"
"T_NK_MAIT","Monocytes",171,84.7646987024463,0.495699992411967,6.49521215602168,"MIF","CD74"
"Myeloid_Macro-Inflammatory_TNF","Myeloid_Proliferating Myeloid",285,84.5504331939351,0.296668186645386,8.66260508912192,"MIF","CD74"
"CNV_Subclone_02","Myeloid_Macro-THBS1",355,84.3859199417993,0.237706816737463,10.4710239051316,"MIF","CD74"
"T_NK_CD8+ T cytotoxic","Monocytes",171,84.1160195940748,0.491906547333771,6.48846479033454,"B2M","LILRB2"
"Myeloid_cDC2-like","Myeloid_Proliferating Myeloid",278,83.708236531018,0.301108764500065,6.67876375041617,"MIF","CD74"
"T_NK_CD56dim cytotoxic NK","Myeloid_Macro-LYVE1",155,83.6742637948294,0.539833959966641,6.36278278292089,"HLA-A","APLP2"
"B cells","Myeloid_cDC2-like",437,83.6424099081691,0.191401395670867,13.4970338533829,"MIF","CD74"
"Myeloid_Proliferating Myeloid","Myeloid_Proliferating Myeloid",331,83.6322139239647,0.252665298863942,9.67181881358307,"MIF","CD74"
"B_Classical-Bm_TXNIP","Myeloid_Macro-THBS1",131,83.630420108218,0.638400153497847,6.67343481117029,"B2M","LILRB2"
"Myeloid_Macro-C3/CX3CR1","T_NK_CD8+ T cytotoxic",126,83.601810507401,0.66350643259842,5.86173552341658,"B2M","CD3D"
"Myeloid_Macro-THBS1","T_NK_CD8+ T cytotoxic",145,83.3745816172802,0.574997114601932,6.25431763818937,"MIF","CD74"
"T_NK_Th17","Monocytes",173,83.374113665917,0.481931292866572,6.36982074729776,"MIF","CD74"
"T_NK_CD8+ T resident memory","T_NK_CD8+ T cytotoxic",74,83.192574757528,1.12422398320984,6.73093554624639,"B2M","CD3D"
"Myeloid_Macro-Inflammatory_M1","Myeloid_cDC2-like",277,83.0953132774055,0.299983080423846,13.0513973440713,"MIF","CD74"
"Myeloid_Monocyte-like","T_NK_¦Ã¦ÄT",112,82.9576242522375,0.740693073680692,6.08686263688531,"B2M","CD3D"
"Smooth_muscle_cells","T_NK_Th17",213,82.8871657413696,0.389141623198918,5.52711104688468,"LGALS1","CD69"
"T_NK_CD56bright regulatory","T_NK_CD56dim cytotoxic NK",111,82.6921442276448,0.744974272321124,5.8595093733078,"KLRD1","B2M"
"Myeloid_cDC2-like","Myeloid_Monocyte-like",208,82.6655525052946,0.39743054089084,6.1893679753497,"MIF","CD74"
